"country","code","year","prod_ktOil","use_ktOil","nuclearPerc","importPerc","renewPerc","fosilPerc"
"Guatemala","GTM",1977,2644.207,3779.118,0.532505203595125,30.0311077875843,69.2485654060021,30.2189293904027
"Guatemala","GTM",1978,2660.269,3870.438,0.6288177203717,31.2669780526132,68.0256084711859,31.3455738084423
"Guatemala","GTM",1979,2775.081,4105.778,0.576017505086734,32.4103495123214,65.0872745676946,34.3367079272187
"Guatemala","GTM",1980,2583.096,3792.357,0.530646244538687,31.8867923035727,62.0210860950064,37.448267660455
"Guatemala","GTM",1981,2668.612,3688.592,0.671475728408021,27.6522857502266,66.0407819569093,33.2877694252983
"Guatemala","GTM",1982,2882.04,3624.283,0.944407486942935,20.479719712837,69.7908248334912,29.2648504545589
"Guatemala","GTM",1983,2893.348,3502.245,1.61576360306032,17.3859053264406,70.8938123974765,27.4903954463494
"Guatemala","GTM",1984,2819.389,3700.489,1.15271251988589,23.8103666839707,68.5975285968963,30.2497588832179
"Guatemala","GTM",1985,2783.945,3769.98,1.26377328261688,26.1549132886647,68.654422569881,30.0818041475021
"Guatemala","GTM",1986,3024.092,3619.569,3.29072328777266,16.4515996241541,73.3381515865563,23.5802384206517
"Guatemala","GTM",1987,3049.438,3824.577,3.08060211626018,20.2673132218282,71.8002801355549,25.1439048030671
"Guatemala","GTM",1988,3110.012,3978.208,3.19943049734956,21.8237960408304,70.2868477465231,26.5137468930735
"Guatemala","GTM",1989,3238.079,4130.211,3.47938640422971,21.6001555368479,70.4522359753533,26.068377620417
"Guatemala","GTM",1990,3381.793,4411.123,3.34944185414916,23.3348741352259,68.7871999941965,27.8672573854776
"Guatemala","GTM",1991,3426.842,4535.73,3.25742493490574,24.4478397082719,68.1589292131586,28.5931040868835
"Guatemala","GTM",1992,3593.057,4784.011,2.60120639354717,24.8944661707509,66.5483837725289,30.9475040922774
"Guatemala","GTM",1993,3605.608,4768.191,2.77396605966498,24.3820560040485,65.6773816317341,31.6911591838498
"Guatemala","GTM",1994,3608.023,5024.709,2.79665946823985,28.194388968595,61.6229915006023,35.5615220702333
